,index,file_id,genus,species,name,download_url,file_name,duration,other_species_in_recording,quality
0,8,452850,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/452850/download,"XC452850-Cinereous Tinamou, song, 190117-023.mp3",53,"Poecilotriccus latirostris, Pheugopedius genibarbis, Oryzoborus angolensis",A
1,9,446610,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/446610/download,XC446610-Crypturellus cinereus - DaRec_20180527091521.mp3,32,,A
2,10,424163,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/424163/download,XC424163-Crypturellus cinereus. RO. ME- Felipe Arantes.mp3,36,"Sclerurus obscurior, Amazona farinosa",A
3,11,333322,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/333322/download,XC333322-CRYCIN13.mp3,51,"Thamnophilus aethiops, Hypocnemis ochrogyna, Myrmoborus myotherinus, Myrmothera subcanescens, Pheugopedius genibarbis",A
4,12,329091,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/329091/download,XC329091-Crypturellus cinereus(song)XapuriAC230613.mp3,37,,A
5,13,329090,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/329090/download,XC329090-Crypturellus cinereus(song)XapuriAC220613.mp3,32,,A
6,14,310825,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/310825/download,XC310825-CRYCIN28.mp3,118,"Pheugopedius genibarbis, Hylophilus semicinereus, Pygiptila stellaris",A
7,15,310821,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/310821/download,XC310821-CRYCIN27.mp3,36,Xiphorhynchus guttatus,A
8,16,306288,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/306288/download,XC306288-CRYCIN26.mp3,82,,A
9,17,217694,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/217694/download,XC217694-CRYCIN09.mp3,32,,A
10,18,171227,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/171227/download,XC171227-9991267.MP3,111,,A
11,19,167252,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/167252/download,XC167252-Crypturellus cinereus_Machadinho_1026.mp3,38,,A
12,20,143922,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/143922/download,XC143922-1189.mp3,91,"Conioptilon mcilhennyi, Piculus chrysochloros, Xiphorhynchus guttatus",A
13,21,85038,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85038/download,CRYCIN21.mp3,23,,A
14,22,85037,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85037/download,CRYCIN18.mp3,32,,A
15,23,85036,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85036/download,CRYCIN15.mp3,48,"Cercomacra cinerascens, Patagioenas plumbea",A
16,24,85035,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85035/download,CRYCIN10.mp3,27,,A
17,25,85034,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85034/download,CRYCIN08.mp3,37,"Attila spadiceus, Xiphorhynchus guttatus",A
18,26,47907,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/47907/download,Cinereous Tinamou2009-9-15-1.mp3,56,,A
19,27,9904,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/9904/download,BD_2004-04-05_Crypturellus_cinereus2.mp3,59,"Hypocnemis striata, Hylophylax punctulatus, Grallaria varia, Celeus torquatus",A
20,28,506369,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/506369/download,XC506369-05-10-2019 17e46 Tururim2 (Crypturellus soui-OK-OK).mp3,35,Crypturellus undulatus,A
21,30,469140,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/469140/download,XC469140-Crypturellus soui_Carajas_1008.mp3,76,,A
22,31,413837,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/413837/download,XC413837-Tururim3 (Crypturellus soui-OK).mp3,23,Myiopagis gaimardii,A
23,32,412497,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/412497/download,XC412497-Tururim2 02-03-2018 7hs (Crypturellus soui).mp3,36,,A
24,33,412494,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/412494/download,XC412494-Tururim (Crypturellus soui-OK-OK).mp3,89,,A
25,34,377292,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/377292/download,XC377292-Crypturellus_soui_cf_Desconhecido_3_M5_P4_Faz_Araçatuba_Lambaridoeste_MT (2).mp3,41,,A
26,35,377192,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/377192/download,XC377192-Crypturellus_soui_17_Jun_2017_Ferreira_Gomes_AP_RSS.mp3,60,,A
27,36,370827,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/370827/download,XC370827-170421_003 - TURURIN.MP3,28,,A
28,37,333320,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/333320/download,XC333320-CRYSOU36.mp3,32,,A
29,38,325619,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/325619/download,XC325619-413 Crypturellus soui(song)AVCTaquaraBA100512.mp3,30,,A
30,39,266350,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/266350/download,XC266350-Crypturellus_soui_(Little_Tinamou)e.p.05.07.11.mp3,51,,A
31,40,221887,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/221887/download,XC221887-Little Tinamou A 115.mp3,32,,A
32,41,217698,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/217698/download,XC217698-CRYSOU12.mp3,29,,A
33,42,217697,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/217697/download,XC217697-CRYSOU15.mp3,80,,A
34,48,85052,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85052/download,CRYSOU26.mp3,34,Tyrannulus elatus,A
35,49,85051,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85051/download,CRYSOU21.mp3,42,,A
36,50,85050,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85050/download,CRYSOU18.mp3,69,"Trogon surrucura, Todirostrum poliocephalum, Piprites chloris, Contopus cinereus, Colonia colonus",A
37,51,85049,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85049/download,CRYSOU13.mp3,23,Todirostrum cinereum,A
38,52,20908,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/20908/download,C. soui1063.mp3,63,,A
39,54,1483,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/1483/download,litinamou.mp3,27,,A
